company_name,typeOfBusiness,sector,regionsOfOperation,newRegionsTargeting,website
zerohash,"Supplier (product, technology or service)","Casino & Games, Poker, Sports Betting, Esports, Payments","Europe, North America, Latin America","Europe, North America, Asia, Latin America",https://zerohash.com/
Casino 777,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Elbet doo,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Africa, Latin America, MENA (Middle East North Africa)","Europe, Asia, Africa, Latin America, MENA (Middle East North Africa)",https://www.elbet.com/
CASINO BARCELONA,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Latin America",Europe,
LAAFFIC PTE. LTD,"Supplier (product, technology or service)","Casino & Games, Sports Betting","North America, Asia, Latin America, Australasia","Europe, MENA (Middle East North Africa)",
Casino Barcelona,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Poker",Europe,Europe,
Casino Barcelona,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,North America,
Casino Barcelona,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Casino Club,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"North America, Latin America",Latin America,
Sinspired Studio,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Latin America","Europe, Asia, Latin America",https://sinspiredstudio.com/
Casinò di Venezia Gioco Spa,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Casino Du Liban,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,MENA (Middle East North Africa),MENA (Middle East North Africa),
Casino Gran Madrid,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Casino Interlaken AG,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
TON & SPOT audiodesign,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Latin America","Australasia, MENA (Middle East North Africa)",https://ton-und-spot.com/
TriaV Gaming,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Africa, Latin America, Australasia","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
MOHIO,"Supplier (product, technology or service)","Casino & Games, Bingo, Lottery, Sports Betting","Europe, Africa, Latin America, MENA (Middle East North Africa)","Europe, North America, Africa, Latin America, MENA (Middle East North Africa)",https://www.mohiogaming.com/
CODIGAT,"Supplier (product, technology or service)","Casino & Games, Payments","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",Europe,https://codigat.com/
Ela Games,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Latin America","Europe, North America, Latin America",https://www.elagames.com/
Gaming Platforms,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Payments","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Fintoc,"Supplier (product, technology or service)","Casino & Games, Payments",Latin America,Latin America,
Casino Mendrisio SA,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Complianceplay AI,"Supplier (product, technology or service)",Casino & Games,"Europe, North America",Africa,
Casino Portoroz d.d.,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Fullstory,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting","Europe, North America","Europe, North America",https://www.fullstory.com/industries/gaming/
Casino Time,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo",North America,North America,
CasinoCasino,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Noda,"Supplier (product, technology or service)","Casino & Games, Sports Betting",Europe,Europe,
CasinoCasino,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
BrainRocket,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Latin America","Europe, North America, Latin America",
ALL IN Platform,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports","Europe, Asia, Latin America","Europe, Asia, Latin America",
PGWay,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Latin America","Europe, North America, Latin America",https://www.pgway.com/
1Stop Translations,"Supplier (product, technology or service)","Casino & Games, Poker","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",mailto:a.corona@1stoptranslations.com
Casinos Austria AG,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
The Better Platform TBP Games,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Africa, Latin America, MENA (Middle East North Africa)","North America, Latin America",https://www.better-platform.com/
Soft2Bet,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Latin America","Europe, North America, Latin America",
RETN,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Payments","Europe, North America, Asia","North America, Asia, Africa, Latin America",https://retn.net/
Cre8Pics,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Australasia, MENA (Middle East North Africa)",Africa,
Finsupport/ Omnimatrix,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Sports Betting, Esports",Europe,Europe,
Casumo,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, North America, Australasia",Australasia,https://tonci77.github.io/tonci-portfolio/
Cazdingue,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
CoinsPaid,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports, Payments","Europe, North America, Asia, Africa, Latin America, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, MENA (Middle East North Africa)",
OmiSoft,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery",Europe,Europe,https://omisoft.net/
Cherry,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Cibri doo,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Cibri doo,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo, Payments",Europe,Europe,
Microsoft,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Asia, Africa, Australasia, MENA (Middle East North Africa)",
Fortuna Labz,"Supplier (product, technology or service)","Casino & Games, Esports","Europe, North America, Asia, MENA (Middle East North Africa)","Europe, North America, Asia, MENA (Middle East North Africa)",https://www.fortunalabz.com/
CIRSA,"Supplier (product, technology or service)","Casino & Games, Coin-op/Amusements","Europe, North America, Latin America, MENA (Middle East North Africa)",Europe,
Cibri doo,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo, Sports Betting, Esports",Europe,Europe,
Cinquestelle srl,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
CIRSA,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo, Sports Betting","Europe, Latin America","Europe, Latin America",
Yudiz Solutions Limited,"Supplier (product, technology or service)",Casino & Games,Europe,Asia,http://www.yudiz.com/
Affiverse,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, North America, Africa, Latin America, Australasia",MENA (Middle East North Africa),
CIRSA,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Latin America","Europe, Latin America",
CIRSA,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Latin America","Europe, Latin America",
Kendoo,"Supplier (product, technology or service)",Casino & Games,Europe,"Europe, North America, Asia, Africa, Latin America",
Cirsa,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Africa, Latin America","Europe, Latin America",
CIRSA,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo, Poker, Sports Betting, Hospitality, Coin-op/Amusements","Europe, Africa, Latin America","Europe, Africa, Latin America",
Cevro AI,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Cevro AI,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.cevro.ai/
Gamepack studio,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,https://gamepackstudio.com/
CIRSA,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo","Europe, Latin America",Europe,
KYZEN,"Supplier (product, technology or service)","Casino & Games, Payments",Europe,Europe,https://kyzen.services/
LINK Mobility,"Supplier (product, technology or service)","Casino & Games, Sports Betting",Europe,Europe,
Cirsa,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, Africa, Latin America","Europe, Latin America",
Cirsa Servicios Corporativos,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America, Africa",Europe,
Wynta,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports","Europe, North America, Asia, Latin America","Africa, Australasia, MENA (Middle East North Africa)",
Cirsa Servicios Corporativos,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo, Sports Betting, Coin-op/Amusements","Europe, Africa, Latin America","Europe, Africa, Latin America",
Club148,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,"North America, Latin America",
WARGOS TECHNOLOGIES,"Supplier (product, technology or service)",Casino & Games,Latin America,Latin America,
Kendoo,"Supplier (product, technology or service)",Casino & Games,Europe,"Europe, North America, Asia, Africa, Latin America",
Kendoo,"Supplier (product, technology or service)",Casino & Games,Europe,"Europe, North America, Asia, Africa, Latin America",
Kendoo,"Supplier (product, technology or service)",Casino & Games,Europe,"Europe, North America, Asia, Africa, Latin America",
nanocosmos,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Codere,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo, Sports Betting, Social","Europe, Latin America",Latin America,
Solidicon,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa","Europe, North America, Asia, Africa, MENA (Middle East North Africa)",
nanocosmos,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
CODERE,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting, Hospitality","Europe, Latin America",Latin America,
Root Codex,"Supplier (product, technology or service)",Casino & Games,"Europe, Latin America, Australasia, MENA (Middle East North Africa)",,
Codere,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Latin America",Latin America,
PG Gaming Ltd,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, Asia, Africa, Latin America","North America, Asia, Latin America",
Ciklum,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports, Payments","Europe, North America, Asia, Latin America, MENA (Middle East North Africa)","Europe, North America, MENA (Middle East North Africa)",
CODERE,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Latin America",Latin America,
SpinOro by Anakatech Group,"Supplier (product, technology or service)","Casino & Games, Lottery","Europe, Latin America","Europe, North America",https://www.spinoro.com/
Zillion Games,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Australasia, MENA (Middle East North Africa)","Africa, Latin America",https://zillion.games/
CODERE,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, Latin America","Europe, Latin America",
18Peaches,"Supplier (product, technology or service)",Casino & Games,Europe,"Asia, Africa, Latin America, MENA (Middle East North Africa)",
18Peaches,"Supplier (product, technology or service)",Casino & Games,Europe,"Asia, Africa, Latin America, MENA (Middle East North Africa)",
18Peaches,"Supplier (product, technology or service)",Casino & Games,Europe,"Asia, Africa, Latin America, MENA (Middle East North Africa)",https://18peaches.com/
18Peaches,"Supplier (product, technology or service)",Casino & Games,Europe,"Asia, Africa, Latin America, MENA (Middle East North Africa)",https://18peaches.com/
Codere,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, Latin America",Latin America,
Codere,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, Latin America",Latin America,
Clawbuster,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America",
CODERE,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, Latin America",Europe,
Codere Online,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, Latin America",Latin America,
Supplier (product or service),"Supplier (product, technology or service)","Casino & Games, Social","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.wozogaming.com/
Mondogaming Srl,"Supplier (product, technology or service)","Casino & Games, Poker, Lottery, Sports Betting","Europe, Asia, Latin America, MENA (Middle East North Africa)","North America, Australasia",https://www.mondogaming.eu/
Codere Online,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, Latin America","Europe, Latin America",
SkyControl.Bet,"Supplier (product, technology or service)",Casino & Games,"Asia, Africa, Latin America, MENA (Middle East North Africa)","Europe, North America, Australasia, MENA (Middle East North Africa)",https://skycontrol.bet/
Warner Bros.,"Supplier (product, technology or service)",Casino & Games,"Europe, North America",North America,
Supplier (product or service),"Supplier (product, technology or service)","Casino & Games, Other","Europe, Asia","North America, Africa, Latin America, MENA (Middle East North Africa)",https://www.blaze.mt/
Rapidpace LTD,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Payments","Europe, North America, Asia, Africa, Latin America, MENA (Middle East North Africa)",Australasia,
NuxGame,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports","Europe, North America, Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://nuxgame.com/
Platipus,"Supplier (product, technology or service)",Casino & Games,"Europe, Africa, Latin America",Europe,https://platipusgaming.com/
Animo Studios,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia","Europe, North America, Asia, Africa, Latin America, MENA (Middle East North Africa)",
Codere Online,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, Latin America",Latin America,
Banana Kick,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, Africa",Europe,
ComeOn Group,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America",Europe,
Solitics,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://solitics.com/
Solitics,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Neosurf,"Supplier (product, technology or service)",Casino & Games,Europe,North America,http://neosurf.com/
Company XX,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Asia,Asia,
Oaken Design,"Supplier (product, technology or service)",Casino & Games,"Europe, North America","Europe, North America",https://www.oaken.design/
Elantil,"Supplier (product, technology or service)","Casino & Games, Poker, Sports Betting, Esports, Payments",Europe,"Europe, North America, Latin America",
Elantil,"Supplier (product, technology or service)","Casino & Games, Poker, Sports Betting, Esports, Payments",Europe,"Europe, North America, Latin America",
Elantil,"Supplier (product, technology or service)","Casino & Games, Poker, Sports Betting, Esports, Payments",Europe,"Europe, North America, Latin America",https://elantil.com/
INTERGO TELECOM,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, North America, Africa, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Intergo Telecom Ltd,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, North America, Asia, Africa, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://intergotelecom.com/
Intergo Telecom Ltd,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, North America, Asia, Africa, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://intergotelecom.com/
Oboard,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports, Hospitality, Coin-op/Amusements, Security/Cyber-security, Payments, Tribal, Social","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","North America, Latin America",https://oboard.io/
Company XX,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Asia,Asia,
Bloomreach,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting","Europe, North America, Australasia, MENA (Middle East North Africa)","Europe, North America, Australasia, MENA (Middle East North Africa)",
Bloomreach,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting","Europe, North America, Australasia, MENA (Middle East North Africa)","Europe, North America, Australasia, MENA (Middle East North Africa)",
Relax Gaming,"Supplier (product, technology or service)",Casino & Games,"Europe, North America","Europe, North America",
OKTO,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports, Payments","Europe, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Innovecs Play,"Supplier (product, technology or service)","Casino & Games, Social","Europe, North America","Europe, North America",https://ice.innovecs.com/
Confidential,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
COPYBET EU LTD,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Europe,Latin America,
Testa,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Other","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.testa.io/
ZEUS,"Supplier (product, technology or service)",Casino & Games,Asia,Europe,
ZEUS,"Supplier (product, technology or service)",Casino & Games,Asia,"Europe, North America, Africa, Latin America",https://www.zeusgames.io/
Blurify,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Other","Europe, North America","Asia, Africa, Latin America, Australasia",https://blurify.com/industries/igaming/
Pragmatic Play,"Supplier (product, technology or service)","Casino & Games, Bingo, Sports Betting","Europe, Asia, Africa, Latin America","Europe, Asia, Africa, Latin America",
CopyBet UK Ltd,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Europe,Latin America,
COR NET d.o.o.,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo, Sports Betting",Europe,"Europe, Africa, Latin America",
Supplier (product or service),"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Sports Betting","Europe, Asia, Africa, Latin America","Europe, Asia, Africa, Latin America",
Pragmatic Play,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Sports Betting","Europe, Asia, Africa, Latin America","Europe, Asia, Africa, Latin America",https://www.pragmaticplay.com/
Supplier (product or service),"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Sports Betting","Europe, Asia, Africa, Latin America","Europe, Asia, Africa, Latin America",
CREGIS,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Sports Betting, Esports, Payments","Europe, Asia, Africa, Latin America, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.cregis.com/
Corporación Meier,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Latin America,Latin America,
CP Strategies,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Poker, Sports Betting","Europe, North America, Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
SOFTSWISS,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Payments",Europe,"Europe, Latin America",
Cpasharks,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,North America,Europe,
CrazyBet,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting, Payments","Europe, North America","Asia, Africa, Latin America",
CrazyBet,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting, Esports, Hospitality","Europe, North America","Africa, Latin America",
REEVO,"Supplier (product, technology or service)",Casino & Games,"Europe, Latin America",North America,
REEVO,"Supplier (product, technology or service)",Casino & Games,"Europe, Latin America",North America,
REEVO,"Supplier (product, technology or service)",Casino & Games,"Europe, Latin America",North America,
REEVO,"Supplier (product, technology or service)",Casino & Games,"Europe, Latin America",North America,
DS Virtual Gaming,"Supplier (product, technology or service)","Casino & Games, Lottery, Sports Betting","Europe, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
DS Virtual Gaming,"Supplier (product, technology or service)","Casino & Games, Lottery, Sports Betting","Europe, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.virtualgaming.com/
Crocobet,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Europe,Europe,
DS Virtual Gaming,"Supplier (product, technology or service)","Casino & Games, Lottery, Sports Betting, Other","Europe, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.virtualgaming.com/
watchers.io,"Supplier (product, technology or service)","Casino & Games, Lottery, Sports Betting, Esports, Social","Europe, North America, Asia, Latin America",Africa,http://watchers.io/
watchers.io,"Supplier (product, technology or service)","Casino & Games, Lottery, Sports Betting, Esports, Social","Europe, North America, Asia, Latin America","Africa, Australasia",
watchers.io,"Supplier (product, technology or service)","Casino & Games, Lottery, Sports Betting, Esports, Social","Europe, North America, Asia, Latin America","Africa, Australasia",https://watchers.io/
Crocobet,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Europe,Europe,
Cor Net,"Supplier (product, technology or service)","Casino & Games, Bingo, Lottery, Sports Betting",Europe,"North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.cor-net.net/
Bloomreach,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting","Europe, North America, Australasia, MENA (Middle East North Africa)","Europe, North America, Australasia, MENA (Middle East North Africa)",https://www.bloomreach.com/en/industries/igaming
DST GAMING,"Supplier (product, technology or service)",Casino & Games,Asia,Asia,
Relax Gaming,"Supplier (product, technology or service)",Casino & Games,Europe,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.relax-gaming.com/
Bloomreach,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports","Europe, North America, Australasia, MENA (Middle East North Africa)","Europe, North America, Australasia, MENA (Middle East North Africa)",
Relax Gaming,"Supplier (product, technology or service)",Casino & Games,Europe,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Crown Consulting,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,North America,Australasia,
Platipus,"Supplier (product, technology or service)",Casino & Games,"Europe, Africa, Latin America",Europe,
Crypto Snack,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, North America","Europe, North America",
Playsar,"Supplier (product, technology or service)","Casino & Games, Other","Europe, North America, Asia, Africa","Europe, North America, Asia, Africa, Latin America",https://www.playsar.com/
SGA - Software Gaming Architects,"Supplier (product, technology or service)","Casino & Games, Sports Betting",Latin America,Latin America,
Daring Ventures,"Supplier (product, technology or service)",Casino & Games,"Asia, Africa","Europe, Latin America",
Cryptos,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Africa","Europe, Africa, Latin America",
Cryptos,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Africa, Latin America","Europe, Africa, Latin America",
RANK - BINGOSOFT,"Supplier (product, technology or service)","Casino & Games, Bingo",Europe,"Europe, Latin America",
Crystalbet,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
CT Interactive,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Asia, Africa, Latin America","Europe, Asia, Africa, Latin America",
Supplier (product or service),"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports","Europe, North America, Latin America","Asia, Africa, Australasia, MENA (Middle East North Africa)",https://bazoom.com/
HelixpayLatam,"Supplier (product, technology or service)","Casino & Games, Poker, Payments","Europe, North America, Latin America","Europe, North America, Latin America",http://helixpay.lat/
CT Interactive,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America, Africa, Latin America","Europe, North America, Asia, Africa, Latin America",
Xl Digital Innovation Pte ltd,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports, Hospitality, Coin-op/Amusements, Security/Cyber-security, Payments, Tribal, Social","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.xldigital.biz/
CT Interactive,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Poker, Esports, Coin-op/Amusements","Europe, North America, Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America",
Ctek,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"North America, Latin America","North America, Latin America",
Highlight Games,"Supplier (product, technology or service)","Casino & Games, Lottery, Sports Betting, Other","Europe, North America, Asia, Africa, Latin America, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, MENA (Middle East North Africa)",
Ctek,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","North America, Latin America","North America, Latin America",
Cubet,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Asia,Asia,
Cubet,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Asia,Asia,
Cwinz Partners,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","Europe, Asia, Africa, Latin America, MENA (Middle East North Africa)","Europe, Asia, Africa, Latin America, MENA (Middle East North Africa)",
DAF CONSULTING,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Asia,
Daji Consulting,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Asia",Europe,
Custom Games Studio,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, MENA (Middle East North Africa)","Europe, North America, Asia, MENA (Middle East North Africa)",
XGENIA,"Supplier (product, technology or service)","Casino & Games, Security/Cyber-security","Europe, North America, Africa","Asia, Latin America, Australasia, MENA (Middle East North Africa)",https://xgenia.ai/
FRUITSALAD,"Supplier (product, technology or service)",Casino & Games,"Europe, Africa","Europe, North America, Africa, Latin America",
Uberman Agency,"Supplier (product, technology or service)","Casino & Games, Poker, Sports Betting","Europe, North America, Asia, Africa, Latin America, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, MENA (Middle East North Africa)",
Danske Spil,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo, Poker, Lottery, Sports Betting",Europe,Europe,
Supplier (product or service),"Supplier (product, technology or service)","Casino & Games, Coin-op/Amusements",Europe,Europe,
